pos,qualification,team,pld,won,drn,lst,gd,pts
1,C,Benfica,34,27,6,1,70,87
2,UCL,FC Porto,34,26,5,3,67,83
3,UEL,BRG,34,22,7,5,42,73
4,UEL,Sporting CP,34,19,9,6,31,66
5,UECL,BVT,34,17,13,4,20,64
6,,VTSC,34,16,10,8,3,58
7,,PTM,34,16,8,10,13,56
8,,Chaves,34,16,4,14,8,52
9,,Famalicao,34,16,1,17,-10,49
10,,Gil Vicente,34,10,10,14,-14,40
11,,Feirense,34,9,12,13,-16,39
12,,Rio Ave,34,10,7,17,-14,37
13,,VIZ,34,10,4,20,-27,34
14,,Estoril Praia,34,8,8,18,-21,32
15,,Estrela da Amadora SAD,34,7,7,20,-25,28
16,,Farense,34,5,8,21,-28,23
17,R,Moreirense,34,4,8,22,-38,20
18,R,Penafiel,34,2,5,27,-61,11
