pos,qualification,team,pld,won,drn,lst,gd,pts
1,C,FC Porto,34,29,4,1,71,91
2,UCL,Benfica,34,27,4,3,67,85
3,UCL,BRG,34,23,5,6,36,74
4,UEL,Sporting CP,34,20,6,8,30,66
5,UEL,Estrela da Amadora SAD,34,18,7,9,12,61
6,UECL,PTM,34,16,10,8,13,58
7,,Famalicao,34,15,9,10,14,54
8,,Chaves,34,12,11,11,-6,47
9,,VIZ,34,10,12,12,-8,42
10,,Moreirense,34,11,7,16,-5,40
11,,Rio Ave,34,10,9,15,-14,39
12,,Gil Vicente,34,10,5,19,-17,35
13,,MRT,34,10,4,20,-22,34
14,,Estoril Praia,34,10,3,21,-21,33
15,,Feirense,34,7,9,18,-30,30
16,PI,VTSC,34,7,8,19,-18,29
17,R,Farense,34,5,7,22,-39,22
18,R,Belenenses,34,4,4,26,-63,16
